Index,original_title,production_budget,worldwide_gross,imbd_id,budget,revenue,genres,producers,director,starring
4218,Me and Earl and the Dying Girl,8000000,9266180,tt2582496,8000000,9100000,Comedy,Jeremy Dawson,Dan Fogelman,Steven M. Rales
4219,Its Kind of a Funny Story,8000000,6632950,tt0804497,8000000,6491240,Comedy,Kevin Misher,Ben Browning,Anna Boden
4221,The Pallbearer,8000000,5656388,tt0117283,8000000,8000000,Comedy,J. J. Abrams,Paul Webster,Matt Reeves
4222,Woman on Top,8000000,10192613,tt0206420,8000000,10200000,Comedy,Alan Poul,Fina Torres,Penélope Cruz
4223,Held Up,8000000,4714090,tt0165831,8000000,4000000,Comedy,Stokely Chaffin,Jonathon Komack Martin,Neal H. Moritz
4224,Morgan,8000000,7298786,tt4520364,8000000,8810591,Horror,Ridley Scott,Michael Schaefer,Mark Huffam
4230,Clay Pigeons,8000000,2256606,tt0118863,8000000,1800000,Comedy,Ridley Scott,Tony Scott,Chris Zarpas
4239,Prefontaine,8000000,590817,tt0119937,8000000,589304,Drama,Mark Doonan,Peter Gilbert,Jon Lutz
4242,Brooklyn Rules,8000000,458232,tt0283503,8000000,458232,Drama,Michael Corrente,Marisa Polvino,Richard Lewis
4244,The Singing Detective,8000000,524747,tt0314676,8000000,337174,Comedy,Bruce Davey,Mel Gibson,Steven Saxton
4248,Restless,8000000,2772511,tt1498569,8000000,163265,Drama,Gus Van Sant,Bryce Dallas Howard,Ron Howard
4252,Pathology,8000000,3270974,tt0964539,8000000,3000000,Crime,"Neveldine/Taylor,Gary Lucchesi",Tom Rosenberg,Richard S. Wright
4255,10th & Wolf,8000000,143782,tt0360323,8000000,143451,Action,Suzanne DeLaurentiis,Leo Rossi,Joe Murphy
4257,Fireflies in the Garden,8000000,3587191,tt0961108,8000000,3393161,Drama,Sukee Chew,Vanessa Coifman,Marco Weber
4281,Soul Food,7500000,43492389,tt0120169,7500000,43700000,Comedy,Kenneth \Babyface\ Edmonds,Tracey E. Edmonds,Michael McQuarn
4282,(500) Days of Summer,7500000,34515303,tt1022603,7500000,60722734,Comedy,Mason Novick,Jessica Tuchinsky,Mark Waters
4285,Hostel: Part II,7500000,33606409,tt0498353,10200000,35619521,Horror,Chris Briggs,Mike Fleiss,Eli Roth
4287,Extract,7500000,10849158,tt1225822,8000000,10848783,Comedy,John Altschuler,Mike Judge,Glenn Lucas
4288,Narc,7500000,11843260,tt0272207,6500000,12633747,Action,Diane Nabatoff,Ray Liotta,Michelle Grace
4289,Shopgirl,7500000,11758418,tt0338427,10284523,11588205,Comedy,Ashok Amritraj,Jon Jashni,Steve Martin
4292,Witless Protection,7500000,4151836,tt1001562,7500000,4161625,Action,J.P. Williams,Alan C. Blomquist,Charles Robert Carner
4293,The Work and the Glory,7500000,3347647,tt0410454,7500000,3347647,Drama,Jeff T. Miller,Larry H. Miller,Scott Swofford
4295,The Neon Demon,7500000,3559803,tt1974419,7000000,1333124,Thriller,Lene Børglum,Nicolas Winding Refn,Nicolas Winding Refn
